id	airline	tweet	label
102218	United	@united 2 flights in 3 days and both delays for maintenance issues. Any chance to prevent issues be4 boarding? Frustrating	0
109263	American	@judoscott @PhilGizzi @AmericanAir Kid's school day was shorter than your wait time - buses are here	1
159146	AlaskaAir	#CopperRiverSalmon opener - Slow start, small fish. @SaltysSeafood beats @AlaskaAir-1st Seattle salmon http://t.co/cqSBUPfujq @SeattleFishCo	1
22180	JetBlue	Thank you @Delta and @JetBlue for being so amazing during this difficult time. Cali is officially cancelled  but Jax beach is on!! 	1
156008	AlaskaAir	Thank you @AlaskaAir for the upgrade to first class on my flight to San Diego this morning. Starving student got a taste of the good life!	1
9672	SouthWest	God, #southwestairlines and their poor service never ceases to amaze me. How are you still in business? @SouthwestAir	0
125642	SouthWest	@SouthwestAir can someone explain why plane after plane can take the empty gates and we are stuck with no AC for 20 mins waiting for gate.	0
68950	AlaskaAir	Such a great experience so far on @AlaskaAir until I landed at LAX only to find my flight to OKC is 2 hours late #longdaytiredgirl	0
80909	JetBlue	@travelocity I spent over 3 hours on the phone with you on Sat trying to resolve an issue with @JetBlue ...but you never call back :(	0
44630	SouthWest	@caspencer18 @SuperrAwesomee @SouthwestAir yeah I flew with them this weekend and I'm switching to southwest after that experience 	1
39872	Delta	@DeltaAssist  Bought plane ticket through Orbitz; paid with Ppal. They said Delta needs to cancel invoice. ID: PBorb4439634704 Jeff Williams	1
151531	JetBlue	Airfare purchased @JetBlue  now just waiting for November for our Aruba trip @yougonnafly Gonna B Good!!!	1
139781	JetBlue	Chillen at @MCO Ã¢ÂÂ¤ waiting to board on @JetBlue Ã°Å¸â€™â„¢Ã¢Å“Ë† http://t.co/NmEqSozeic	1
38832	American	@PointsToPointB @AmericanAir Yeah, noticed a longer hold time than normal tonight too... But you're more a power user than me.	1
61223	American	@AmericanAir I am waiting for him to text it to me now.	1
55723	American	Non-perk perk @AmericanAir charge for bags, then comp. them if you spend on their ridiculous card. http://t.co/pXyXrVrgt0	0
40189	American	@AmericanAir idiots!!! Sitting in already delayed aircraft. They've lost their catering truck.	0
139340	United	@TmarTn @united I dont think it is The flight companys fault that the guy next to you is FAT	1
29434	Delta	@DeltaAssist My family with 12 week old baby had flight moved up. No notification. Missed flight. Now stuck in SLC until tomorrow.	0
18566	JetBlue	I agree! RT @jencarlisle: @hharteveldt absolutely killing it with the best questions for CMOS of @SouthwestAir and @JetBlue #skiftforum	1
49306	United	"Scheduled to fly into SF during what CNN calls a ""river in the sky."" Schools are cancelled but @united says flights are on-schedule."	1
114861	JetBlue	I love that I make #firstworldproblems tweet about tv being broken on flight&amp; @JetBlue messages me about it.Awesome soc media team guys! Ã¢â„¢Â¥	1
115616	American	@AmericanAir no. I got belittled and my fiancÃ© then tried n now she's balling her eyes out. Cause planning a wedding isn't stressful enough	1
162431	American	@AmericanAir I know it's a long shot, but how do I report a lost wallet, AA192, seat 16F	1
5373	American	@AmericanAir @USAirways can't believe how terrible you are	0
160623	United	@united flight 1234 out of PIT cancelled. And options out of neighboring airports? CMH? Got 4 guys that need to be in Houston tomorrow.	1
151044	American	@AmericanAir sitting on the runway at DFW waiting to park. I have a connection in 15 to AUS. Can they hold for a few extra minutes!? Please	0
74687	JetBlue	Wait, @jetblue you provide free wifi onboard your new planes? #happytraveler #jetsetsurf	1
3785	United	@united I have waited for a reply, it said 10-14 days, it's past that.... I still haven't gotten a reply	0
156599	Delta	.@DeltaAssist looks like @BrettYoungMusic needs some comp stuff from Delta for the inconvenience. Crazy disorganized	1
154152	United	Fuck off @united.  Girl with autism kicked off plane because captain didn't 'feel comfortable' flying with her http://t.co/jwiRiqFvyp	1
152226	SouthWest	If I've got to leave NOLA @SouthwestAir is the only way I go...it's the only way I get here too for that matter. #Luv http://t.co/7gdfGckLKl	1
101271	United	yall have Gossip Girls season 6 on international flights? Need to know if I should start it or wait till my 15 hr flight to Dubai @united	1
146189	JetBlue	Ugggh @jetblue delays at jfk. Now getting home on a different day and lost my ride from the airport. #travelwoes #vacationsover	0
11582	United	@united can you confirm that all flights from o'hare to Atlanta are/were cancelled today/tonight? Was supposed to flight out at 9am	1
128145	Delta	@DeltaAssist so my flight gets cancel I find this out from a family member now they separates the family on difrent flights we need help	0
